Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 88.66     11.96    11.96 44996412     0.00     0.00  qmod(unsigned long, unsigned long, unsigned long)
  8.82     13.15     1.19   293073     0.00     0.00  CycleLength(unsigned long, unsigned long)
  0.52     13.22     0.07       12     0.01     1.12  worker(unsigned char)
  0.37     13.27     0.05   787778     0.00     0.00  Prime(unsigned long)
  0.33     13.31     0.04  4009321     0.00     0.00  std::operator&(std::memory_order, std::__memory_order_modifier)
  0.30     13.36     0.04   770044     0.00     0.00  HighestCycleLength(unsigned long)
  0.22     13.38     0.03  7466427     0.00     0.00  std::__is_constant_evaluated()
  0.22     13.41     0.03   831782     0.00     0.00  std::operator|(std::memory_order, std::__memory_order_modifier)
  0.19     13.44     0.03   787470     0.00     0.00  std::__cmpexch_failure_order2(std::memory_order)
  0.15     13.46     0.02   813401     0.00     0.00  std::__atomic_base<unsigned long>::operator=(unsigned long)
  0.15     13.48     0.02   767961     0.00     0.00  std::__atomic_base<unsigned long>::operator unsigned long() const
  0.07     13.49     0.01   779683     0.00     0.00  std::__cmpexch_failure_order(std::memory_order)
  0.00     13.49     0.00      125     0.00     0.00  unsigned long& std::forward<unsigned long&>(std::remove_reference<unsigned long&>::type&)
  0.00     13.49     0.00      101     0.00     0.00  void (&std::forward<void (&)(unsigned char)>(std::remove_reference<void (&)(unsigned char)>::type&))(unsigned char)
  0.00     13.49     0.00       84     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000l> >::count() const
  0.00     13.49     0.00       57     0.00     0.00  std::thread* std::__addressof<std::thread>(std::thread&)
  0.00     13.49     0.00       54     0.00     0.00  std::thread::id::id()
  0.00     13.49     0.00       45     0.00     0.00  std::remove_reference<std::thread::id&>::type&& std::move<std::thread::id&>(std::thread::id&)
  0.00     13.49     0.00       36     0.00     0.00  __gnu_cxx::__normal_iterator<std::thread*, std::vector<std::thread, std::allocator<std::thread> > >::__normal_iterator(std::thread* const&)
  0.00     13.49     0.00       36     0.00     0.00  __gnu_cxx::__normal_iterator<std::thread*, std::vector<std::thread, std::allocator<std::thread> > >::base() const
  0.00     13.49     0.00       36     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000l> >::duration<long, void>(long const&)
  0.00     13.49     0.00       36     0.00     0.00  void (*&&std::forward<void (*)(unsigned char)>(std::remove_reference<void (*)(unsigned char)>::type&))(unsigned char)
  0.00     13.49     0.00       36     0.00     0.00  unsigned long&& std::forward<unsigned long>(std::remove_reference<unsigned long>::type&)
  0.00     13.49     0.00       30     0.00     0.00  std::thread* std::__niter_base<std::thread*>(std::thread*)
  0.00     13.49     0.00       30     0.00     0.00  std::thread&& std::forward<std::thread>(std::remove_reference<std::thread>::type&)
  0.00     13.49     0.00       27     0.00     0.00  std::thread::joinable() const
  0.00     13.49     0.00       27     0.00     0.00  std::thread::~thread()
  0.00     13.49     0.00       27     0.00     0.00  std::operator==(std::thread::id, std::thread::id)
  0.00     13.49     0.00       27     0.00     0.00  operator new(unsigned long, void*)
  0.00     13.49     0.00       24     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1l> >::count() const
  0.00     13.49     0.00       24     0.00     0.00  std::_Head_base<0ul, std::thread::_State*, false>::_M_head(std::_Head_base<0ul, std::thread::_State*, false>&)
  0.00     13.49     0.00       24     0.00     0.00  std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >::_M_head(std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >&)
  0.00     13.49     0.00       24     0.00     0.00  std::__uniq_ptr_impl<std::thread::_State, std::default_delete<std::thread::_State> >::_M_ptr()
  0.00     13.49     0.00       24     0.00     0.00  std::thread::_State*& std::__get_helper<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >(std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >&)
  0.00     13.49     0.00       24     0.00     0.00  std::tuple_element<0ul, std::tuple<std::thread::_State*, std::default_delete<std::thread::_State> > >::type& std::get<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >(std::tuple<std::thread::_State*, std::default_delete<std::thread::_State> >&)
  0.00     13.49     0.00       24     0.00     0.00  std::remove_reference<std::tuple<void (*)(unsigned char), unsigned long>&>::type&& std::move<std::tuple<void (*)(unsigned char), unsigned long>&>(std::tuple<void (*)(unsigned char), unsigned long>&)
  0.00     13.49     0.00       20     0.00     0.00  std::vector<std::thread, std::allocator<std::thread> >::size() const
  0.00     13.49     0.00       18     0.00     0.00  __gnu_cxx::__normal_iterator<std::thread*, std::vector<std::thread, std::allocator<std::thread> > >::operator*() const
  0.00     13.49     0.00       18     0.00     0.00  std::vector<std::thread, std::allocator<std::thread> >::end()
  0.00     13.49     0.00       15     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000000l> >::count() const
  0.00     13.49     0.00       15     0.00     0.00  std::thread::swap(std::thread&)
  0.00     13.49     0.00       15     0.00     0.00  std::thread::thread(std::thread&&)
  0.00     13.49     0.00       15     0.00     0.00  void std::__relocate_object_a<std::thread, std::thread, std::allocator<std::thread> >(std::thread*, std::thread*, std::allocator<std::thread>&)
  0.00     13.49     0.00       15     0.00     0.00  std::remove_reference<std::thread&>::type&& std::move<std::thread&>(std::thread&)
  0.00     13.49     0.00       15     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<std::thread::id> >, std::is_move_constructible<std::thread::id>, std::is_move_assignable<std::thread::id> >::value, void>::type std::swap<std::thread::id>(std::thread::id&, std::thread::id&)
  0.00     13.49     0.00       13     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000000l> >::duration<long, void>(long const&)
  0.00     13.49     0.00       12     0.00     0.00  __gnu_cxx::__normal_iterator<std::thread*, std::vector<std::thread, std::allocator<std::thread> > >::operator-(long) const
  0.00     13.49     0.00       12     0.00     0.00  std::_Head_base<0ul, void (*)(unsigned char), false>::_M_head(std::_Head_base<0ul, void (*)(unsigned char), false>&)
  0.00     13.49     0.00       12     0.00     0.00  std::_Head_base<0ul, void (*)(unsigned char), false>::_Head_base(void (* const&)(unsigned char))
  0.00     13.49     0.00       12     0.00     0.00  std::_Head_base<0ul, std::thread::_State*, false>::_Head_base()
  0.00     13.49     0.00       12     0.00     0.00  std::_Head_base<1ul, std::default_delete<std::thread::_State>, true>::_Head_base()
  0.00     13.49     0.00       12     0.00     0.00  std::_Head_base<1ul, unsigned long, false>::_M_head(std::_Head_base<1ul, unsigned long, false>&)
  0.00     13.49     0.00       12     0.00     0.00  std::_Head_base<1ul, unsigned long, false>::_Head_base<unsigned long&>(unsigned long&)
  0.00     13.49     0.00       12     0.00     0.00  std::unique_ptr<std::thread::_State, std::default_delete<std::thread::_State> >::unique_ptr<std::default_delete<std::thread::_State>, void>(std::thread::_State*)
  0.00     13.49     0.00       12     0.00     0.00  std::unique_ptr<std::thread::_State, std::default_delete<std::thread::_State> >::~unique_ptr()
  0.00     13.49     0.00       12     0.00     0.00  std::_Tuple_impl<0ul, void (*)(unsigned char), unsigned long>::_M_head(std::_Tuple_impl<0ul, void (*)(unsigned char), unsigned long>&)
  0.00     13.49     0.00       12     0.00     0.00  std::_Tuple_impl<0ul, void (*)(unsigned char), unsigned long>::_Tuple_impl<void (&)(unsigned char), unsigned long&, void>(void (&)(unsigned char), unsigned long&)
  0.00     13.49     0.00       12     0.00     0.00  std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >::_Tuple_impl()
  0.00     13.49     0.00       12     0.00     0.00  std::_Tuple_impl<1ul, std::default_delete<std::thread::_State> >::_Tuple_impl()
  0.00     13.49     0.00       12     0.00     0.00  std::_Tuple_impl<1ul, unsigned long>::_M_head(std::_Tuple_impl<1ul, unsigned long>&)
  0.00     13.49     0.00       12     0.00     0.00  std::_Tuple_impl<1ul, unsigned long>::_Tuple_impl<unsigned long&>(unsigned long&)
  0.00     13.49     0.00       12     0.00     0.00  void std::this_thread::sleep_for<long, std::ratio<1l, 1000l> >(std::chrono::duration<long, std::ratio<1l, 1000l> > const&)
  0.00     13.49     0.00       12     0.00     0.00  std::__uniq_ptr_data<std::thread::_State, std::default_delete<std::thread::_State>, true, true>::__uniq_ptr_impl(std::thread::_State*)
  0.00     13.49     0.00       12     0.00     0.00  std::__uniq_ptr_impl<std::thread::_State, std::default_delete<std::thread::_State> >::__uniq_ptr_impl(std::thread::_State*)
  0.00     13.49     0.00       12     0.00     0.00  std::tuple<void (*)(unsigned char), unsigned long>::tuple<void (&)(unsigned char), unsigned long&, true>(void (&)(unsigned char), unsigned long&)
  0.00     13.49     0.00       12     0.00     0.00  std::tuple<std::thread::_State*, std::default_delete<std::thread::_State> >::tuple<true, true>()
  0.00     13.49     0.00       12     0.00     0.00  std::enable_if<std::chrono::__is_duration<std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::value, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::type std::chrono::duration_cast<std::chrono::duration<long, std::ratio<1l, 1000000000l> >, long, std::ratio<1l, 1000l> >(std::chrono::duration<long, std::ratio<1l, 1000l> > const&)
  0.00     13.49     0.00       12     0.00     0.00  std::enable_if<std::chrono::__is_duration<std::chrono::duration<long, std::ratio<1l, 1000l> > >::value, std::chrono::duration<long, std::ratio<1l, 1000l> > >::type std::chrono::duration_cast<std::chrono::duration<long, std::ratio<1l, 1000l> >, long, std::ratio<1l, 1l> >(std::chrono::duration<long, std::ratio<1l, 1l> > const&)
  0.00     13.49     0.00       12     0.00     0.00  std::enable_if<std::chrono::__is_duration<std::chrono::duration<long, std::ratio<1l, 1l> > >::value, std::chrono::duration<long, std::ratio<1l, 1l> > >::type std::chrono::duration_cast<std::chrono::duration<long, std::ratio<1l, 1l> >, long, std::ratio<1l, 1000l> >(std::chrono::duration<long, std::ratio<1l, 1000l> > const&)
  0.00     13.49     0.00       12     0.00     0.00  std::chrono::duration_values<long>::zero()
  0.00     13.49     0.00       12     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000000l> > std::chrono::__duration_cast_impl<std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::ratio<1000000l, 1l>, long, false, true>::__cast<long, std::ratio<1l, 1000l> >(std::chrono::duration<long, std::ratio<1l, 1000l> > const&)
  0.00     13.49     0.00       12     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000l> > std::chrono::__duration_cast_impl<std::chrono::duration<long, std::ratio<1l, 1000l> >, std::ratio<1000l, 1l>, long, false, true>::__cast<long, std::ratio<1l, 1l> >(std::chrono::duration<long, std::ratio<1l, 1l> > const&)
  0.00     13.49     0.00       12     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1l> > std::chrono::__duration_cast_impl<std::chrono::duration<long, std::ratio<1l, 1l> >, std::ratio<1l, 1000l>, long, true, false>::__cast<long, std::ratio<1l, 1000l> >(std::chrono::duration<long, std::ratio<1l, 1000l> > const&)
  0.00     13.49     0.00       12     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000l> >::zero()
  0.00     13.49     0.00       12     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000l> >::duration<int, void>(int const&)
  0.00     13.49     0.00       12     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000l> >::duration<long, std::ratio<1l, 1l>, void>(std::chrono::duration<long, std::ratio<1l, 1l> > const&)
  0.00     13.49     0.00       12     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1l> >::duration<long, void>(long const&)
  0.00     13.49     0.00       12     0.00     0.00  bool std::chrono::operator<=<long, std::ratio<1l, 1000l>, long, std::ratio<1l, 1000l> >(std::chrono::duration<long, std::ratio<1l, 1000l> > const&, std::chrono::duration<long, std::ratio<1l, 1000l> > const&)
  0.00     13.49     0.00       12     0.00     0.00  bool std::chrono::operator< <long, std::ratio<1l, 1000l>, long, std::ratio<1l, 1000l> >(std::chrono::duration<long, std::ratio<1l, 1000l> > const&, std::chrono::duration<long, std::ratio<1l, 1000l> > const&)
  0.00     13.49     0.00       12     0.00     0.00  std::common_type<std::chrono::duration<long, std::ratio<1l, 1000l> >, std::chrono::duration<long, std::ratio<1l, 1l> > >::type std::chrono::operator-<long, std::ratio<1l, 1000l>, long, std::ratio<1l, 1l> >(std::chrono::duration<long, std::ratio<1l, 1000l> > const&, std::chrono::duration<long, std::ratio<1l, 1l> > const&)
  0.00     13.49     0.00       12     0.00     0.00  std::thread::_State_impl<std::thread::_Invoker<std::tuple<void (*)(unsigned char), unsigned long> > >::_State_impl<void (&)(unsigned char), unsigned long&>(void (&)(unsigned char), unsigned long&)
  0.00     13.49     0.00       12     0.00     0.00  std::thread::_State::_State()
  0.00     13.49     0.00       12     0.00     1.12  void std::thread::_Invoker<std::tuple<void (*)(unsigned char), unsigned long> >::_M_invoke<0ul, 1ul>(std::_Index_tuple<0ul, 1ul>)
  0.00     13.49     0.00       12     0.00     0.00  std::thread::_Invoker<std::tuple<void (*)(unsigned char), unsigned long> >::_Invoker<void (&)(unsigned char), unsigned long&>(void (&)(unsigned char), unsigned long&)
  0.00     13.49     0.00       12     0.00     1.12  std::thread::_Invoker<std::tuple<void (*)(unsigned char), unsigned long> >::operator()()
  0.00     13.49     0.00       12     0.00     0.00  std::thread::thread<void (&)(unsigned char), unsigned long&, void>(void (&)(unsigned char), unsigned long&)
  0.00     13.49     0.00       12     0.00     0.00  std::thread& std::vector<std::thread, std::allocator<std::thread> >::emplace_back<void (&)(unsigned char), unsigned long&>(void (&)(unsigned char), unsigned long&)
  0.00     13.49     0.00       12     0.00     0.00  std::vector<std::thread, std::allocator<std::thread> >::back()
  0.00     13.49     0.00       12     0.00     0.00  void (*&std::__get_helper<0ul, void (*)(unsigned char), unsigned long>(std::_Tuple_impl<0ul, void (*)(unsigned char), unsigned long>&))(unsigned char)
  0.00     13.49     0.00       12     0.00     0.00  unsigned long& std::__get_helper<1ul, unsigned long>(std::_Tuple_impl<1ul, unsigned long>&)
  0.00     13.49     0.00       12     0.00     1.12  void std::__invoke_impl<void, void (*)(unsigned char), unsigned long>(std::__invoke_other, void (*&&)(unsigned char), unsigned long&&)
  0.00     13.49     0.00       12     0.00     0.00  std::tuple_element<0ul, std::tuple<void (*)(unsigned char), unsigned long> >::type&& std::get<0ul, void (*)(unsigned char), unsigned long>(std::tuple<void (*)(unsigned char), unsigned long>&&)
